,ctr,num_clicks,cpc,budget_spent,num_impressions_won,b_coef,a_coef,bias
0,0.0008319319,93,67.2039569892,6249968,111788,0,0,134.5
1,0.0008153693,89,70.2245168539,6249982,109153,0,0,142.5
2,0.0008229144,88,71.0227159091,6249999,106937,0,0,149
3,0.0007528361,87,71.8385632184,6249955,115563,0,0,125
4,0.0007877911,86,72.6740116279,6249965,109166,0,0,144
5,0.0007340515,86,72.6741511628,6249977,117158,0,0,121
6,0.0007852484,85,73.5292941176,6249990,108246,0,0,147
7,0.0007794883,84,74.4045952381,6249986,107763,0,0,147.5
8,0.000760126,84,74.4043214286,6249963,110508,0,0,139.5
9,0.0007456923,84,74.4043809524,6249968,112647,0,0,133
10,0.0007433299,84,74.4043452381,6249965,113005,0,0,132
11,0.0007415582,84,74.4045952381,6249986,113275,0,0,132
12,0.0007357514,84,74.4040952381,6249944,114169,0,0,128.5
13,0.0007272475,84,74.404547619,6249982,115504,0,0,125.5
14,0.0007168153,84,74.4047619048,6250000,117185,0,0,120
15,0.0007746367,83,75.3011445783,6249995,107147,0,0,149
16,0.0007425765,83,75.3010722892,6249989,111773,0,0,135.5
17,0.0007700687,82,76.2189390244,6249953,106484,0,0,150
18,0.0007511015,82,76.2195,6249999,109173,0,0,145.5
19,0.0007289089,81,77.1603333333,6249987,111125,0,0,137.5
20,0.0007170553,81,77.1599753086,6249958,112962,0,0,131.5
21,0.0007060177,81,77.1604444444,6249996,114728,0,0,126.5
22,0.0006924675,81,77.1603950617,6249992,116973,0,0,120.5
23,0.000760384,80,78.1245125,6249961,105210,0,0,152
24,0.000704213,80,78.123975,6249918,113602,0,0,130
25,0.0007290648,79,79.1123924051,6249879,108358,0,0,143.5
26,0.0007070364,79,79.1139113924,6249999,111734,0,0,135.5
27,0.0006930737,79,79.1137974684,6249990,113985,0,0,128.5
28,0.0006807235,79,79.113278481,6249949,116053,0,0,124
29,0.0006804948,79,79.1136329114,6249977,116092,0,0,122.5
30,0.0006778381,79,79.1137594937,6249987,116547,0,0,123
31,0.0007168656,78,80.1279102564,6249977,108807,0,0,144
32,0.0007154716,78,80.1281538462,6249996,109019,0,0,143
33,0.0007007016,78,80.126974359,6249904,111317,0,0,137
34,0.0006758337,78,80.1277948718,6249968,115413,0,0,126
35,0.0006698096,78,80.1275,6249945,116451,0,0,122.5
36,0.0007451565,77,81.1678961039,6249928,103334,0,0,160
37,0.0007375973,77,81.167961039,6249933,104393,0,0,155
38,0.000728725,77,81.1686363636,6249985,105664,0,0,151
39,0.0007011218,77,81.1683636364,6249964,109824,0,0,141
40,0.000695976,77,81.1681298701,6249946,110636,0,0,139.5
41,0.0006950399,77,81.1685974026,6249982,110785,0,0,139.5
42,0.0006934688,77,81.1685974026,6249982,111036,0,0,138
43,0.0006928822,77,81.1679350649,6249931,111130,0,0,138
44,0.0006712638,77,81.1684155844,6249968,114709,0,0,127
45,0.0006692335,77,81.1681688312,6249949,115057,0,0,124.5
46,0.0006658999,77,81.1688311688,6250000,115633,0,0,125.5
47,0.0006632385,77,81.167961039,6249933,116097,0,0,124
48,0.0006595233,77,81.1677142857,6249914,116751,0,0,121.5
49,0.0007349386,76,82.2361842105,6249950,103410,0,0,158.5
50,0.0007347823,76,82.2367105263,6249990,103432,0,0,160
51,0.0007291847,76,82.2358026316,6249921,104226,0,0,156
52,0.000725267,76,82.2357631579,6249918,104789,0,0,154.5
53,0.0007001833,76,82.2362763158,6249957,108543,0,0,144.5
54,0.000699127,76,82.2368026316,6249997,108707,0,0,144
55,0.0006896552,76,82.2365657895,6249979,110200,0,0,140.5
56,0.0006810768,76,82.2365657895,6249979,111588,0,0,136
57,0.0006741533,76,82.2361184211,6249945,112734,0,0,132.5
58,0.0006519688,76,82.2360789474,6249942,116570,0,0,122
59,0.0006500227,76,82.2352763158,6249881,116919,0,0,122
60,0.0007210498,75,83.3322533333,6249919,104015,0,0,155.5
61,0.0006752863,75,83.33268,6249951,111064,0,0,137.5
62,0.0006749703,75,83.3328666667,6249965,111116,0,0,138
63,0.0006699539,75,83.3332666667,6249995,111948,0,0,133.5
64,0.0006681455,75,83.33268,6249951,112251,0,0,133.5
65,0.0006573297,75,83.3333066667,6249998,114098,0,0,127.5
66,0.000657036,75,83.3331733333,6249988,114149,0,0,127.5
67,0.000647937,75,83.33244,6249933,115752,0,0,125
68,0.0006456556,75,83.3332933333,6249997,116161,0,0,123
69,0.000644352,75,83.3325333333,6249940,116396,0,0,121.5
70,0.0007159235,74,84.4589054054,6249959,103363,0,0,159
71,0.0007090839,74,84.4586486486,6249940,104360,0,0,154.5
72,0.0006813494,74,84.4591891892,6249980,108608,0,0,144.5
73,0.0006663365,74,84.4593783784,6249994,111055,0,0,139
74,0.0006624058,74,84.4592837838,6249987,111714,0,0,135
75,0.0006562902,74,84.4583243243,6249916,112755,0,0,133
76,0.0006507783,74,84.4584324324,6249924,113710,0,0,131
77,0.0006408369,74,84.4589189189,6249960,115474,0,0,126
78,0.0006388839,74,84.459,6249966,115827,0,0,122.5
79,0.0007072067,73,85.615369863,6249922,103223,0,0,157.5
80,0.0006606514,73,85.6161506849,6249979,110497,0,0,140
81,0.0006363652,73,85.6164246575,6249999,114714,0,0,127
82,0.0006345729,73,85.6163561644,6249994,115038,0,0,125.5
83,0.0006962307,72,86.8050694444,6249965,103414,0,0,157.5
84,0.000695874,72,86.8053333333,6249984,103467,0,0,160
85,0.0006896816,72,86.8046666667,6249936,104396,0,0,156.5
86,0.0006844302,72,86.8050833333,6249966,105197,0,0,152.5
87,0.0006843391,72,86.8054444444,6249992,105211,0,0,153
88,0.0006808189,72,86.8039444444,6249884,105755,0,0,150.5
89,0.0006628919,72,86.8051527778,6249971,108615,0,0,146
90,0.00065615,72,86.8048888889,6249952,109731,0,0,141
91,0.0006481173,72,86.8044027778,6249917,111091,0,0,139
92,0.0006460412,72,86.8039861111,6249887,111448,0,0,136.5
93,0.0006442895,72,86.8046944444,6249938,111751,0,0,135
94,0.0006416941,72,86.8055416667,6249999,112203,0,0,133.5
95,0.0006259237,72,86.8048472222,6249949,115030,0,0,126.5
96,0.0006182062,72,86.8041805556,6249901,116466,0,0,121.5
97,0.0006835138,71,88.0281408451,6249998,103875,0,0,158
98,0.0006815782,71,88.0272957746,6249938,104170,0,0,158
99,0.0006692116,71,88.0280985915,6249995,106095,0,0,149.5
100,0.0006661788,71,88.027084507,6249923,106578,0,0,150
101,0.0006604283,71,88.0271971831,6249931,107506,0,0,147.5
102,0.0006487099,71,88.0280985915,6249995,109448,0,0,143
103,0.0006471725,71,88.0279295775,6249983,109708,0,0,141.5
104,0.0006377952,71,88.0280985915,6249995,111321,0,0,138.5
105,0.0006356141,71,88.0273239437,6249940,111703,0,0,136
106,0.0006340135,71,88.0278309859,6249976,111985,0,0,136
107,0.0006281574,71,88.0280140845,6249989,113029,0,0,130.5
108,0.0006263343,71,88.0281126761,6249996,113358,0,0,131
109,0.0006259919,71,88.0275352113,6249955,113420,0,0,130
110,0.0006139213,71,88.0270985915,6249924,115650,0,0,123.5
111,0.0006130096,71,88.0277887324,6249973,115822,0,0,123.5
112,0.0006056625,71,88.0281267606,6249997,117227,0,0,120
113,0.0006663747,70,89.2851285714,6249959,105046,0,0,152.5
114,0.0006649947,70,89.2855857143,6249991,105264,0,0,151.5
115,0.0006546951,70,89.2857,6249999,106920,0,0,149
116,0.000644075,70,89.2853428571,6249974,108683,0,0,143.5
117,0.0006439742,70,89.2853142857,6249972,108700,0,0,145.5
118,0.0006205344,70,89.2856,6249992,112806,0,0,132.5
119,0.0006173928,70,89.2857142857,6250000,113380,0,0,129.5
120,0.0006162243,70,89.2848428571,6249939,113595,0,0,130.5
121,0.0006117598,70,89.2852142857,6249965,114424,0,0,127.5
122,0.0006695389,69,90.5793623188,6249976,103056,0,0,159.5
123,0.0006562179,69,90.5791304348,6249960,105148,0,0,151.5
124,0.0006341504,69,90.579115942,6249959,108807,0,0,142.5
125,0.0006334459,69,90.5791884058,6249964,108928,0,0,145.5
126,0.0006323372,69,90.5793478261,6249975,109119,0,0,142.5
127,0.0006292118,69,90.5786956522,6249930,109661,0,0,140.5
128,0.0006276779,69,90.5786811594,6249929,109929,0,0,140.5
129,0.0006188452,69,90.5793333333,6249974,111498,0,0,136.5
130,0.0006051729,69,90.5789565217,6249948,114017,0,0,129
131,0.0006037908,69,90.5794057971,6249979,114278,0,0,128
132,0.0005929108,69,90.5794492754,6249982,116375,0,0,122
133,0.000588692,69,90.5793478261,6249975,117209,0,0,121
134,0.0005879396,69,90.5795072464,6249986,117359,0,0,120
135,0.0006585127,68,91.9113382353,6249971,103263,0,0,159.5
136,0.0006542677,68,91.9112647059,6249966,103933,0,0,156.5
137,0.0006529546,68,91.9109558824,6249945,104142,0,0,157
138,0.0006514034,68,91.9109852941,6249947,104390,0,0,157
139,0.0006467875,68,91.9105294118,6249916,105135,0,0,152
140,0.0006461667,68,91.9109705882,6249946,105236,0,0,152.5
141,0.0006142784,68,91.9107794118,6249933,110699,0,0,138.5
142,0.0006106596,68,91.9113676471,6249973,111355,0,0,136.5
143,0.0006085774,68,91.9115,6249982,111736,0,0,134.5
144,0.0006029545,68,91.9107205882,6249929,112778,0,0,132.5
145,0.0005978075,68,91.9117205882,6249997,113749,0,0,129.5
146,0.0005935754,68,91.9116617647,6249993,114560,0,0,128
147,0.0005879098,68,91.9116029412,6249989,115664,0,0,126
148,0.0006494262,67,93.2830447761,6249964,103168,0,0,159
149,0.0006447888,67,93.2835820896,6250000,103910,0,0,156.5
150,0.0006421623,67,93.2824776119,6249926,104335,0,0,156
151,0.0006403946,67,93.282641791,6249937,104623,0,0,153.5
152,0.0006319264,67,93.2821791045,6249906,106025,0,0,151
153,0.0006192866,67,93.2835522388,6249998,108189,0,0,148
154,0.0006153846,67,93.2827910448,6249947,108875,0,0,144.5
155,0.0006032938,67,93.2829850746,6249960,111057,0,0,137.5
