,ctr,num_clicks,cpc,budget_spent,num_impressions_won,b_coef,a_coef,bias
0,0.0010810519,120,52.0829,6249948,111003,0,0,133.5
1,0.0010991041,119,52.5206554622,6249958,108270,0,0,142
2,0.0010983283,118,52.9657542373,6249959,107436,0,0,144.5
3,0.0009992075,116,53.8788189655,6249943,116092,0,0,121
4,0.0010732618,115,54.3476521739,6249980,107150,0,0,144.5
5,0.0010224313,115,54.3477391304,6249990,112477,0,0,129
6,0.0010100212,115,54.3473391304,6249944,113859,0,0,127
7,0.0009898263,115,54.3476521739,6249980,116182,0,0,121
8,0.0011091652,114,54.8243421053,6249975,102780,0,0,154.5
9,0.001104876,114,54.8242894737,6249969,103179,0,0,155.5
10,0.0010156445,114,54.8245175439,6249995,112244,0,0,130
11,0.0009840311,114,54.8241315789,6249951,115850,0,0,120.5
12,0.0010309937,113,55.309619469,6249987,109603,0,0,139
13,0.0010096317,113,55.3097168142,6249998,111922,0,0,130.5
14,0.0009846207,113,55.309699115,6249996,114765,0,0,124
15,0.0011002289,112,55.8027053571,6249903,101797,0,0,159.5
16,0.0010823975,112,55.8034196429,6249983,103474,0,0,152.5
17,0.0010211524,112,55.8034285714,6249984,109680,0,0,137.5
18,0.0009942829,112,55.8034196429,6249983,112644,0,0,128.5
19,0.0010586653,111,56.3062342342,6249992,104849,0,0,150
20,0.0010022754,111,56.305954955,6249961,110748,0,0,135.5
21,0.0009758002,110,56.8180909091,6249990,112728,0,0,128.5
22,0.0010601978,109,57.3386972477,6249918,102811,0,0,153.5
23,0.0009832576,109,57.3393577982,6249990,110856,0,0,134
24,0.0009690526,109,57.339412844,6249996,112481,0,0,129.5
25,0.0009537309,109,57.3392752294,6249981,114288,0,0,126
26,0.0009527889,109,57.3389174312,6249942,114401,0,0,125
27,0.000949188,109,57.3390458716,6249956,114835,0,0,124
28,0.0010350479,108,57.86975,6249933,104343,0,0,150
29,0.0009887937,108,57.8695462963,6249911,109224,0,0,139.5
30,0.0009771545,108,57.8701203704,6249973,110525,0,0,133.5
31,0.0009616755,108,57.8696574074,6249923,112304,0,0,132
32,0.0009397351,108,57.8693888889,6249894,114926,0,0,122.5
33,0.0009894032,107,58.4109065421,6249967,108146,0,0,141.5
34,0.0009739048,107,58.4110093458,6249978,109867,0,0,138
35,0.0009543432,107,58.4106448598,6249939,112119,0,0,132
36,0.0010423325,106,58.9619339623,6249965,101695,0,0,158
37,0.0010407258,106,58.9618867925,6249960,101852,0,0,159
38,0.001023245,106,58.9621886792,6249992,103592,0,0,151.5
39,0.0009814633,106,58.9615943396,6249929,108002,0,0,141.5
40,0.0009658666,106,58.9620943396,6249982,109746,0,0,138.5
41,0.0009580449,106,58.9619622642,6249968,110642,0,0,134.5
42,0.0010014306,105,59.523552381,6249973,104850,0,0,149.5
43,0.0009857859,105,59.522847619,6249899,106514,0,0,146.5
44,0.0009614328,105,59.5236285714,6249981,109212,0,0,140
45,0.0009548666,105,59.5235619048,6249974,109963,0,0,137.5
46,0.0009503983,105,59.5226095238,6249874,110480,0,0,135
47,0.0009410204,105,59.5226666667,6249880,111581,0,0,133
48,0.0009357705,105,59.523552381,6249973,112207,0,0,129.5
49,0.0009315613,105,59.5232095238,6249937,112714,0,0,128.5
50,0.0009312226,105,59.5237142857,6249990,112755,0,0,129.5
51,0.0009191659,105,59.5236,6249978,114234,0,0,124.5
52,0.0009131149,105,59.5232285714,6249939,114991,0,0,123.5
53,0.0009730266,104,60.0961346154,6249998,106883,0,0,146
54,0.0009390689,104,60.0954807692,6249930,110748,0,0,134
55,0.000938391,104,60.0954519231,6249927,110828,0,0,133.5
56,0.0009277265,104,60.0957692308,6249960,112102,0,0,131
57,0.0009070928,104,60.0960673077,6249991,114652,0,0,123
58,0.0008950702,104,60.0958846154,6249972,116192,0,0,120.5
59,0.0008933864,104,60.0960673077,6249991,116411,0,0,120
60,0.001003351,103,60.6792718447,6249965,102656,0,0,156
61,0.0009927041,103,60.6791456311,6249952,103757,0,0,152
62,0.0009897945,103,60.6791747573,6249955,104062,0,0,150.5
63,0.0009879243,103,60.6792524272,6249963,104259,0,0,151
64,0.0009586925,103,60.6789708738,6249934,107438,0,0,145
65,0.0009547469,103,60.6793009709,6249968,107882,0,0,142.5
66,0.000939421,103,60.6792815534,6249966,109642,0,0,138.5
67,0.0008992099,103,60.6791359223,6249951,114545,0,0,124.5
68,0.0008924317,103,60.6790194175,6249939,115415,0,0,121.5
